#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;8
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;1
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;43
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;11
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;22
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;5
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;105
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;56
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;62
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;18
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;227
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;103
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;30
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;3
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;67
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;45
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;216
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;64
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1632
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;221
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;105
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;18
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1011
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;197
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;103
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;22
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;607
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;68
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;144
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;21
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;726
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;123
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;285
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;50
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;2940
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;GO;476
202212;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MA;60
