#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;5
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;11
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;14
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;52
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;0
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;137
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;35
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;122
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;3
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;337
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;58
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;37
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;0
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;51
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;17
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;283
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;79
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1896
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;218
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;115
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;7
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1015
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;753
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;134
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;3
202406;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;562
