#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;8
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;42
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;11
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;27
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;3
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;123
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;45
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;69
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;13
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;342
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;160
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;20
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;1
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;74
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;74
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;232
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;61
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;2291
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;299
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;214
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;21
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1282
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;325
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;109
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;19
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;981
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;70
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;163
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;17
202303;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;893
