#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;12
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;45
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;34
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;33
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;4
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;138
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;38
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;110
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;9
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;418
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;78
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;42
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;1
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;61
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;19
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;339
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;49
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1792
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;177
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;157
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;26
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1190
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;224
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;253
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;8
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;751
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;107
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;170
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;31
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;1306
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;134
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;482
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;35
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;3016
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;GO;397
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MA;67
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MA;2
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MA;277
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MA;30
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MG;1072
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MG;65
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MG;5847
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MG;1447
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MS;105
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MS;8
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MS;599
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MS;28
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MT;96
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MT;11
202309;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MT;443
