#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;9
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;34
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;19
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;39
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;1
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;121
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;36
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;119
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;0
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;222
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;57
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;28
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;0
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;42
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;6
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;317
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;43
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1900
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;174
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;99
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;1
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1043
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;459
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;113
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;8
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;695
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;60
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;197
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;18
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;549
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;105
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;364
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;23
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;2282
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;GO;431
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MA;61
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MA;1
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MA;221
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MA;33
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MG;1129
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MG;21
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MG;6845
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MG;1511
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MS;93
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MS;1
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MS;1570
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MS;45
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MT;94
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MT;3
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MT;369
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MT;47
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PA;108
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PA;4
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PA;333
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PA;103
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PB;49
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PB;0
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PB;131
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PB;38
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PE;196
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PE;6
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PE;498
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PE;83
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PI;23
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PI;0
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PI;99
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PI;13
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PR;1072
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PR;68
202403;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PR;5027
