#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;14
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;49
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;12
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;37
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;2
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;153
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;50
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;134
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;6
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;383
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;150
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;27
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;0
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;71
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;37
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;333
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;65
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1888
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;194
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;165
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;15
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1175
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;246
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;184
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;15
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;906
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;80
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;207
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;13
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;817
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;124
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;465
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;43
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;3616
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;GO;433
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MA;69
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MA;4
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MA;339
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MA;50
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MG;1068
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MG;85
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MG;6536
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MG;1739
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MS;90
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MS;3
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MS;813
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MS;67
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MT;122
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MT;11
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MT;397
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MT;54
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PA;137
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PA;11
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PA;521
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PA;161
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PB;24
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PB;1
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PB;157
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PB;77
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PE;289
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PE;17
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PE;727
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PE;135
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PI;38
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PI;4
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PI;108
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PI;15
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PR;1902
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PR;100
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PR;6568
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PR;918
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;RJ;1508
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;RJ;81
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;RJ;5516
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;RJ;2765
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;RN;36
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;RN;7
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;RN;203
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;RN;41
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;RO;44
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;RO;2
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;RO;107
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;RO;72
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;RR;19
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;RR;0
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;RR;66
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;RR;24
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;RS;454
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;RS;22
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;RS;1958
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;RS;718
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;SC;331
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;SC;15
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;SC;951
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;SC;256
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;SE;21
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;SE;2
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;SE;101
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;SE;22
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;SP;4577
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;SP;212
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;SP;13669
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;SP;3411
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;TO;22
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;TO;3
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;TO;269
202306;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;TO;9
202306;CICAL ADM DE CONS LTDA                                      ;4;AP;0
202306;CICAL ADM DE CONS LTDA                                      ;3;BA;0
202306;CICAL ADM DE CONS LTDA                                      ;4;BA;0
202306;CICAL ADM DE CONS LTDA                                      ;3;DF;0
202306;CICAL ADM DE CONS LTDA                                      ;4;DF;0
202306;CICAL ADM DE CONS LTDA                                      ;3;GO;77
202306;CICAL ADM DE CONS LTDA                                      ;4;GO;42
202306;CICAL ADM DE CONS LTDA                                      ;3;MA;0
202306;CICAL ADM DE CONS LTDA                                      ;3;MG;0
202306;CICAL ADM DE CONS LTDA                                      ;4;MG;0
202306;CICAL ADM DE CONS LTDA                                      ;3;MS;0
202306;CICAL ADM DE CONS LTDA                                      ;4;MS;0
202306;CICAL ADM DE CONS LTDA                                      ;3;MT;0
202306;CICAL ADM DE CONS LTDA                                      ;4;MT;0
202306;CICAL ADM DE CONS LTDA                                      ;3;PA;0
202306;CICAL ADM DE CONS LTDA                                      ;4;PA;0
202306;CICAL ADM DE CONS LTDA                                      ;3;SP;0
202306;CICAL ADM DE CONS LTDA                                      ;3;TO;0
202306;CICAL ADM DE CONS LTDA                                      ;4;TO;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;AC;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;AP;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;BA;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;CE;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;DF;24
202306;FERRAZ ADM E CONS LTDA                                      ;3;ES;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;GO;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;MA;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;MG;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;PE;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;PI;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;RJ;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;SP;0
202306;FERRAZ ADM E CONS LTDA                                      ;3;TO;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;AC;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;AC;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;AC;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;AC;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;AL;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;AL;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;AL;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;AL;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;AM;5
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;AM;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;AM;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;AM;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;AP;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;AP;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;AP;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;AP;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;BA;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;BA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;BA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;BA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;CE;6
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;CE;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;CE;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;CE;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;DF;48
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;DF;8
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;DF;9
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;DF;2
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;ES;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;ES;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;ES;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;ES;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;GO;7
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;GO;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;GO;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;GO;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;MA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;MA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;MA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;MA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;MG;9
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;MG;2
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;MG;2
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;MG;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;MS;11
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;MS;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;MS;6
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;MS;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;MT;5
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;MT;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;MT;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;MT;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;PA;10
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;PA;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;PA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;PA;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;PB;5
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;PB;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;PB;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;PB;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;PE;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;PE;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;PE;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;PE;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;PI;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;PI;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;PI;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;PI;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;PR;12
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;PR;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;PR;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;6;PR;0
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;1;RJ;19
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;3;RJ;1
202306;FUNDACAO HAB. DO EXERCITO-FHE                               ;4;RJ;0
